ID_IMOVEL	BAIRRO_IMOVEL	METRAGEM	TIPO_IMOVEL	VALOR_VENDA	INCIDENCIA_LUZ	VAGAS_GARAGEM	FLUXO_VEICULOS	COMERCIOS_RAIO_1KM
1	Santa Rosa	140	Apartamento	517000	Pouca	2	Intenso	19
2	Santa Rosa	90	Apartamento	427000	Pouca	2	Intermediário	13
3	Santa Rosa	130	Casa	558000	Pouca	5	Baixo	11
4	Recanto Mar	50	Apartamento	354000	Pouca	2	Intenso	
5	Recanto Mar	70	Apartamento	416000	Nenhuma		Intermediário	26
6	Jardim Sol	110	Apartamento	468000	Muita		Intenso	27
7	Santa Rosa	90	Apartamento	436000	Nenhuma		Intermediário	18
8	Jardim Sol	240	Casa	509000	Nenhuma	1	Intermediário	13
9	Recanto Mar	210	Casa	692000	Pouca	4	Intenso	24
10	Santa Rosa	70	Apartamento	395000	Nenhuma	2	Intenso	31
11	Jardim Sol	110	Apartamento	416000	Pouca	1	Baixo	17
12	Santa Rosa	260	Casa	462000	Nenhuma	4	Intermediário	11
13	Jardim Sol	50	Apartamento	403000	Nenhuma		Intenso	11
14	Vila Verde	260	Casa	576000	Muita	3	Intenso	6
15	Jardim Sol	110	Casa	407000	Muita	1	Intenso	14
16	Recanto Mar	260	Casa	615000	Muita		Baixo	15
17	Santa Rosa	290	Casa	765000	Muita		Baixo	7
18	Recanto Mar	200	Casa	610000	Pouca	2	Intermediário	14
19	Santa Rosa	50	Apartamento	402000	Pouca	1	Intermediário	
20	Recanto Mar	210	Casa	462000	Pouca	2	Intenso	28
21	Jardim Sol	250	Casa	645000	Muita	2	Baixo	10
22	Santa Rosa	40	Apartamento	401000	Muita	0	Intenso	20
23	Santa Rosa	290	Casa	569000	Muita	5	Intermediário	
24	Jardim Sol	80	Apartamento	448000	Nenhuma	1	Baixo	9
25	Jardim Sol	270	Casa	488000	Muita	2	Baixo	9
26	Recanto Mar	140	Apartamento	508000	Muita	1	Intermediário	12
27	Jardim Sol	40	Apartamento	345000	Muita	1	Intenso	24
28	Jardim Sol	140	Casa	520000	Pouca	4	Intermediário	
29	Recanto Mar	200	Casa	494000	Pouca	3	Intenso	9
30	Jardim Sol	110	Apartamento	473000	Muita	1	Intenso	8
31	Recanto Mar	90	Apartamento	453000	Pouca	2	Intenso	27
32	Vila Verde	110	Casa	491000	Nenhuma	4	Intermediário	16
33	Recanto Mar	260	Casa	465000	Nenhuma	2	Intenso	25
34	Santa Rosa	180	Casa	602000	Nenhuma	2	Intenso	13
35	Vila Verde	60	Apartamento	527000	Pouca	2	Baixo	12
36	Recanto Mar	100	Apartamento	438000	Pouca	1	Intenso	20
37	Recanto Mar	270	Casa	604000	Pouca	5	Intenso	26
38	Vila Verde	240	Casa	784000	Pouca	3	Baixo	6
39	Jardim Sol	170	Casa	492000	Pouca	2	Baixo	8
40	Recanto Mar	140	Casa	487000	Pouca	4	Intenso	
41	Recanto Mar	80	Apartamento	485000	Pouca	1	Intenso	30
42	Vila Verde	140	Casa	483000	Muita		Intenso	24
43	Recanto Mar	70	Apartamento	409000	Nenhuma	2	Intermediário	
44	Santa Rosa	90	Apartamento	483000	Muita		Baixo	
45	Vila Verde	90	Apartamento	421000	Nenhuma	2	Intermediário	15
46	Santa Rosa	250	Casa	468000	Pouca	4	Intermediário	7
47	Vila Verde	190	Casa	623000	Nenhuma	3	Intenso	31
48	Vila Verde	130	Casa	718000	Muita		Intermediário	14
49	Recanto Mar	260	Casa	511000	Muita	2	Intermediário	9
50	Jardim Sol	110	Casa	445000	Pouca	1	Intenso	14
51	Vila Verde	280	Casa	634000	Pouca	4	Intenso	28
52	Santa Rosa	50	Apartamento	421000	Muita	2	Baixo	
53	Vila Verde	70	Casa	509000	Pouca	4	Intermediário	17
54	Santa Rosa	130	Apartamento	482000	Nenhuma	1	Intermediário	22
55	Recanto Mar	130	Apartamento	485000	Pouca	1	Intenso	21
56	Jardim Sol	90	Apartamento	398000	Pouca	2	Intermediário	16
57	Recanto Mar	130	Casa	625000	Pouca		Baixo	18
58	Jardim Sol	60	Apartamento	537000	Pouca	1	Baixo	
59	Vila Verde	250	Casa	737000	Nenhuma	5	Intermediário	20
60	Santa Rosa	110	Apartamento	482000	Pouca	2	Baixo	7
61	Vila Verde	140	Apartamento	564000	Nenhuma	1	Baixo	20
62	Santa Rosa	100	Apartamento	545000	Muita	1	Baixo	
63	Vila Verde	110	Apartamento	500000	Nenhuma	2	Intenso	19
64	Vila Verde	140	Casa	582000	Pouca	3	Intenso	22
65	Santa Rosa	70	Apartamento	462000	Nenhuma	1	Intermediário	
66	Recanto Mar	100	Apartamento	434000	Pouca	1	Baixo	12
67	Vila Verde	40	Apartamento	461000	Muita	2	Baixo	15
68	Santa Rosa	90	Casa	532000	Muita	2	Intenso	
69	Vila Verde	50	Apartamento	517000	Pouca	2	Intermediário	
70	Jardim Sol	190	Casa	571000	Pouca	5	Intenso	
71	Vila Verde	80	Apartamento	472000	Nenhuma	1	Intenso	28
72	Recanto Mar	200	Casa	601000	Nenhuma		Baixo	
73	Santa Rosa	70	Casa	459000	Pouca	3	Intermediário	11
74	Vila Verde	70	Casa	529000	Nenhuma	4	Intermediário	13
75	Recanto Mar	130	Apartamento	416000	Pouca	1	Intermediário	23
76	Vila Verde	60	Apartamento	433000	Pouca	1	Baixo	
77	Vila Verde	100	Apartamento	472000	Nenhuma	2	Intermediário	
78	Jardim Sol	40	Casa	376000	Muita	3	Intermediário	18
79	Recanto Mar	70	Casa	462000	Muita	2	Intermediário	7
80	Vila Verde	140	Apartamento	478000	Nenhuma	1	Intenso	28
81	Santa Rosa	100	Apartamento	463000	Nenhuma	2	Intenso	19
82	Vila Verde	80	Apartamento	418000	Muita	2	Intermediário	
83	Santa Rosa	210	Casa	691000	Pouca	5	Baixo	10
84	Jardim Sol	50	Apartamento	491000	Muita	1	Baixo	
85	Jardim Sol	110	Apartamento	435000	Pouca	1	Intermediário	22
86	Recanto Mar	260	Casa	652000	Muita	3	Intenso	28
87	Recanto Mar	60	Casa	461000	Muita	4	Intermediário	
88	Vila Verde	150	Casa	562000	Muita		Baixo	11
89	Recanto Mar	70	Apartamento	477000	Pouca	1	Intermediário	
90	Santa Rosa	80	Apartamento	469000	Nenhuma	1	Baixo	8
91	Vila Verde	160	Casa	725000	Pouca	4	Baixo	11
92	Vila Verde	80	Casa	512000	Muita	4	Intenso	20
93	Recanto Mar	110	Casa	520000	Muita	1	Intenso	33
94	Santa Rosa	50	Apartamento	536000	Muita	2	Baixo	
95	Recanto Mar	40	Apartamento	461000	Nenhuma	1	Intermediário	14
96	Jardim Sol	100	Apartamento	560000	Pouca	1	Baixo	6
97	Vila Verde	160	Casa	491000	Nenhuma	3	Intermediário	14
98	Santa Rosa	200	Casa	508000	Pouca	3	Baixo	9
